1.0577,1.0585,1.0632,1.0568,-0.1
1.0588,1.056,1.0633,1.0549,0.33
1.0553,1.0564,1.0565,1.0552,-0.09
1.0563,1.058,1.062,1.0554,-0.17
1.0581,1.0555,1.0597,1.0536,0.24
1.0556,1.0533,1.0574,1.0492,0.18
1.0537,1.0609,1.0618,1.0524,-0.73
1.0614,1.0614,1.0637,1.0601,-0.1
1.0625,1.0609,1.0633,1.0606,0.1
1.0614,1.0672,1.0679,1.0602,-0.56
1.0674,1.0598,1.0682,1.0586,0.69
1.0601,1.0574,1.0611,1.052,0.23
1.0577,1.0596,1.0634,1.0559,-0.2
1.0598,1.0632,1.0658,1.059,-0.2
1.0619,1.0629,1.0637,1.0617,-0.21
1.0641,1.0655,1.067,1.0606,-0.14
1.0656,1.0697,1.0711,1.0648,-0.39
1.0698,1.0681,1.0715,1.0638,0.16
1.0681,1.0749,1.0751,1.0653,-0.64
1.075,1.078,1.0801,1.0702,-0.31
1.0783,1.079,1.0793,1.0778,-0.01
1.0784,1.0756,1.08,1.0711,0.24
1.0758,1.0766,1.0829,1.0752,-0.1
1.0769,1.0796,1.081,1.0729,-0.27
1.0798,1.0692,1.0814,1.0681,0.96
1.0695,1.0689,1.0742,1.0617,-0.21
1.0718,1.0723,1.0723,1.0708,0.18
1.0699,1.068,1.0729,1.0656,0.16
1.0682,1.0744,1.0767,1.0655,-0.61
1.0748,1.073,1.0773,1.0709,0.16
1.0731,1.0762,1.0775,1.0717,-0.32
1.0765,1.0683,1.0773,1.0682,0.49
1.0713,1.0703,1.0717,1.0695,0.09
1.0703,1.0663,1.0713,1.0623,0.37
1.0664,1.0628,1.0677,1.0587,0.31
1.0631,1.0712,1.0716,1.0624,-0.77
1.0714,1.0598,1.0719,1.0593,1.05
1.0603,1.0615,1.0638,1.0577,-0.23
1.0627,1.0615,1.0636,1.0609,-0.16
1.0644,1.0609,1.0674,1.0595,0.29
1.0613,1.058,1.0687,1.057,0.29
1.0582,1.0554,1.0624,1.0452,0.27
1.0554,1.0571,1.0628,1.0549,-0.19
1.0574,1.0537,1.0584,1.0508,0.42
1.053,1.0531,1.0536,1.0526,-0.03
1.0533,1.0603,1.0624,1.052,-0.7
1.0607,1.0489,1.0619,1.0478,1.13
1.0488,1.0403,1.0501,1.0387,0.79
1.0406,1.0453,1.0492,1.0339,-0.51
1.0459,1.0529,1.0534,1.0446,-0.64
1.0526,1.052,1.0532,1.0518,0.1
1.0516,1.0489,1.0654,1.0479,0.23
1.0492,1.0416,1.0494,1.0404,0.77
1.0412,1.0454,1.0483,1.0369,-0.43
1.0457,1.0451,1.0465,1.0429,0.01
1.0456,1.0451,1.0473,1.0436,0.02
1.0454,1.0453,1.0461,1.0449,-0.02
1.0456,1.0435,1.047,1.0424,0.18
1.0437,1.0421,1.0501,1.0419,0.12
1.0425,1.0388,1.0453,1.038,0.37
1.0387,1.0403,1.0419,1.035,-0.14
1.0402,1.0442,1.0479,1.039,-0.43
1.0447,1.044,1.0457,1.0438,-0.04
1.0451,1.0415,1.0477,1.0398,0.36
1.0414,1.0534,1.0544,1.0364,-1.16
1.0536,1.0625,1.0671,1.0494,-0.86
1.0627,1.0633,1.0668,1.0601,-0.08
1.0635,1.055,1.0652,1.0523,0.83
1.0547,1.0534,1.0552,1.0533,-0.14
1.0562,1.0615,1.0632,1.0528,-0.5
1.0615,1.0753,1.0873,1.0595,-1.28
1.0753,1.0719,1.077,1.0707,0.32
1.0719,1.0762,1.0787,1.0696,-0.42
1.0764,1.0672,1.0798,1.0503,1.86
1.0567,1.0629,1.0652,1.0507,-0.99
1.0673,1.066,1.0692,1.0623,0.1
1.0662,1.0588,1.067,1.0582,0.7
1.0588,1.0646,1.0669,1.0551,-0.58
1.065,1.0612,1.0657,1.0562,0.33
1.0615,1.0594,1.0686,1.0561,0.06
1.0609,1.061,1.0612,1.0595,0.21
1.0587,1.0548,1.0631,1.0535,0.31
1.0554,1.0552,1.0587,1.0515,-0.05
1.0559,1.0626,1.0647,1.0523,-0.63
1.0626,1.0625,1.066,1.0581,-0.04
1.063,1.0581,1.0652,1.0576,0.44
1.0583,1.0593,1.0595,1.0579,-0.05
1.0588,1.0622,1.0645,1.0567,-0.36
1.0626,1.0689,1.0746,1.0616,-0.6
1.069,1.072,1.0763,1.0663,-0.29
1.0721,1.0734,1.0817,1.071,-0.15
1.0737,1.0847,1.0852,1.0706,-0.79
1.0823,1.0835,1.084,1.0819,-0.3
1.0856,1.0891,1.0929,1.0827,-0.34
1.0893,1.0907,1.0958,1.0862,-0.16
1.091,1.1023,1.13,1.0902,-1.05
1.1026,1.1039,1.107,1.1005,-0.13
1.104,1.1134,1.1139,1.1026,-0.5
1.1095,1.1061,1.11,1.1061,-0.39
1.1138,1.1102,1.1146,1.1077,0.3
1.1105,1.1096,1.1128,1.1057,0.07
1.1097,1.1053,1.1125,1.1048,0.37
1.1056,1.0979,1.1072,1.0956,0.68
1.0981,1.0984,1.0994,1.0934,-0.02
1.0983,1.0991,1.0991,1.0976,-0.04
1.0987,1.0895,1.0995,1.0889,0.83
